state,state2,region,pop,poplt5,pop5_17,pop18p,pop65p,popurban,medage,death,marriage,divorce
Alabama,AL,South,3893888,296412,865836,2731640,440015,2337713,29.299999,35305,49018,26745
Alaska,AK,West,401851,38949,91796,271106,11547,258567,26.1,1604,5361,3517
Arizona,AZ,West,2718215,213883,577604,1926728,307362,2278728,29.200001,21226,30223,19908
Arkansas,AR,South,2286435,175592,495782,1615061,312477,1179556,30.6,22676,26513,15882
California,CA,West,23667902,1708400,4680558,17278944,2414250,21607606,29.9,186428,210864,133541
Colorado,CO,West,2889964,216495,592318,2081151,247325,2329869,28.6,18925,34917,18571
Connecticut,CT,NE,3107576,185188,637731,2284657,364864,2449774,32,26005,26048,13488
Delaware,DE,South,594338,41151,125444,427743,59179,419819,29.799999,5123,4437,2313
Florida,FL,South,9746324,570224,1789412,7386688,1687573,8212385,34.700001,104190,108344,71579
Georgia,GA,South,5463105,414935,1231195,3816975,516731,3409081,28.700001,44230,70638,34743
Hawaii,HI,West,964691,77848,197735,689108,76150,834592,28.4,4849,11856,4438
Idaho,ID,West,943935,93531,213134,637270,93680,509702,27.6,6753,13428,6596
Illinois,IL,N Cntrl,11426518,842241,2400796,8183481,1261885,9518039,29.9,102230,109823,50997
Indiana,IN,N Cntrl,5490224,418764,1199554,3871906,585384,3525298,29.200001,47300,57853,40006
Iowa,IA,N Cntrl,2913808,221628,604245,2087935,387584,1708232,30,26348,27474,11854
Kansas,KS,N Cntrl,2363679,180877,468158,1714644,306263,1575899,30.1,21910,24847,13410
Kentucky,KY,South,3660777,282731,799999,2578047,409828,1862183,29.1,33765,32727,16731
Louisiana,LA,South,4205900,361533,968935,2875432,404279,2887309,27.4,35518,43460,18108
Maine,ME,NE,1124660,78514,242873,803273,140918,534072,30.4,10768,12040,6205
Maryland,MD,South,4216975,272274,895256,3049445,395609,3386555,30.299999,34025,46278,17494
Massachusetts,MA,NE,5737037,337215,1153174,4246648,726531,4808339,31.200001,54919,46273,17873
Michigan,MI,N Cntrl,9262078,685113,2066873,6510092,912258,6551551,28.799999,75102,86898,45047
Minnesota,MN,N Cntrl,4075970,307249,864559,2904162,479564,2725202,29.200001,33412,37641,15371
Mississippi,MS,South,2520638,215279,598918,1706441,289357,1192805,27.700001,23570,27908,13846
Missouri,MO,N Cntrl,4916686,354144,1008339,3554203,648126,3349588,30.9,49329,54625,27595
Montana,MT,West,786690,64455,167440,554795,84559,416402,29,6664,8336,4940
Nebraska,NE,N Cntrl,1569825,122946,324224,1122655,205684,987859,29.700001,14465,14239,6442
Nevada,NV,West,800493,56132,159667,584694,65756,682947,30.200001,5852,114333,13842
New Hampshire,NH,NE,920610,62512,195570,662528,102967,480325,30.1,7594,9251,5254
New Jersey,NJ,NE,7364823,463289,1527572,5373962,859771,6557377,32.200001,68762,55794,27796
New Mexico,NM,West,1302894,114731,303176,884987,115906,939963,27.4,9016,16641,10426
New York,NY,NE,17558072,1135925,3551938,12870209,2160767,14858068,31.9,171769,144518,61972
N. Carolina,NC,South,5881766,404076,1253659,4224031,603181,2822852,29.6,48426,46718,28050
N. Dakota,ND,N Cntrl,652717,54752,136239,461726,80445,318310,28.299999,5596,6094,2142
Ohio,OH,N Cntrl,10797630,787150,2307170,7703310,1169460,7918259,29.9,98268,99832,58809
Oklahoma,OK,South,3025290,233307,621577,2170406,376126,2035082,30.1,28227,46509,24226
Oregon,OR,West,2633105,198046,525011,1910048,303336,1788354,30.200001,21756,23004,17762
Pennsylvania,PA,NE,11863895,747458,2375838,8740599,1530933,8220851,32.099998,123261,93673,34922
Rhode Island,RI,NE,947154,56692,186159,704303,126922,824004,31.799999,9300,7490,3606
S. Carolina,SC,South,3121820,238516,703450,2179854,287328,1689253,28.1,25138,53915,13595
S. Dakota,SD,N Cntrl,690768,58446,147160,485162,91019,320777,28.9,6523,8800,2811
Tennessee,TN,South,4591120,326088,972472,3292560,517588,2773573,30.1,40713,59175,30206
Texas,TX,South,14229191,1169061,3137045,9923085,1371161,11333017,28.200001,108019,181762,96809
Utah,UT,West,1461037,189962,350143,920932,109220,1233060,24.200001,8103,16958,7802
Vermont,VT,NE,511456,35998,109320,366138,58166,172735,29.4,4587,5226,2623
Virginia,VA,South,5346818,360686,1113648,3872484,505304,3529423,29.799999,42496,60210,23615
Washington,WA,West,4132156,306123,833237,2992796,431562,3037014,29.799999,32012,47728,28642
W. Virginia,WV,South,1949644,145583,414053,1390008,237868,705319,30.4,19186,17391,10273
Wisconsin,WI,N Cntrl,4705767,346940,1010880,3347947,564197,3020732,29.4,39255,41111,17546
Wyoming,WY,West,469557,44845,100708,324004,37175,294639,27.1,3215,6868,4003
